Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Italy,,,,8.2,7.5,6.7,6.6,6.5,6.5,6.2,,,6.9,5.2,4.8,4.9 ,Infections
Jamaica,,,,,27.2,29.2,28.5,,,23.6,29.7,30.6,28.6,31.0,31.5,31.4 ,Infections
Japan,,6.1,6.3,6.8,7.0,7.1,7.2,7.4,7.5,7.7,7.9,7.6,7.7,7.5,7.9,8.1 ,Infections
Jordan,,,,,,,,,,,,,,,, ,Infections
Kazakhstan,8.4,9.1,10.3,11.8,12.9,15.3,17.8,21.7,23.0,25.2,28.2,26.7,29.2,31.8,32.1,36.3 ,Infections
Kiribati,,,,,,,,,,,,,,,, ,Infections
Kuwait,,34.7,23.1,23.5,19.9,15.2,17.0,14.7,12.7,17.8,14.4,20.0,21.7,18.3,15.7,14.7 ,Infections
Kyrgyzstan,16.4,17.3,19.1,18.9,20.4,18.5,19.3,21.3,24.5,26.9,25.8,26.6,29.4,33.1,39.3,38.4 ,Infections
Latvia,,11.2,13.3,10.3,9.7,9.4,11.0,10.7,10.6,11.2,11.0,10.4,11.8,11.6,13.6,13.2 ,Infections
Lithuania,14.6,13.9,13.5,13.4,12.2,10.8,10.4,13.0,11.9,12.1,12.2,10.5,11.2,11.1,11.0,11.7 ,Infections
Luxembourg,,,,,,,,,,,,,,,, ,Infections
Macau,,,,,,,,,,,,,,,, ,Infections
Malaysia,,,,,,,,,,,,,,,, ,Infections
Maldives,,,,,,,,,,,,,,,, ,Infections
Malta,,,,,,,,,,,,,,,, ,Infections
Martinique,,,,,,,,,,,,,,,, ,Infections
Mauritius,,15.8,22.3,22.8,21.0,19.4,15.7,16.8,13.1,18.8,12.8,11.4,10.0,11.1,9.8,12.6 ,Infections
Mayotte,,,,,,,,,,,,,,,, ,Infections
Mexico,,14.4,16.4,16.2,16.5,16.3,16.8,18.6,18.5,19.3,20.0,19.8,21.4,21.6,22.0,22.4 ,Infections
Monaco,,,,,,,,,,,,,,,, ,Infections
Mongolia,,,,,,,,,,,,,,,, ,Infections
Montenegro,,,,,,,0.8,0.9,1.8,1.6,1.8,1.6,2.6,1.2,1.4,1.8 ,Infections
Montserrat,,,,,,,,,,,,,,,, ,Infections
Morocco,,,,,,,,,,,,,,,, ,Infections
Netherlands,8.6,8.2,8.4,6.3,6.1,6.3,6.2,6.3,6.0,6.4,6.4,6.7,6.9,6.6,6.6,6.5 ,Infections
Netherlands Antilles,,,,,,,,,,,,,,,, ,Infections
New Zealand,,,,4.1,4.1,3.6,4.0,3.3,3.3,2.9,2.6,3.0,2.9,2.9,3.8,3.5 ,Infections
Nicaragua,,,,,,,,,,,,,,,, ,Infections
Norway,,7.3,8.0,8.5,8.1,8.0,8.5,8.1,7.5,7.0,7.5,5.8,6.2,6.0,5.6,5.9 ,Infections
Occupied Palestinian Territory,,,,,,,,,,,,,,,, ,Infections
Oman,,,,,,32.1,16.6,,,,,,,,, ,Infections
Panama,,31.9,32.2,30.8,32.3,36.4,36.0,35.7,34.9,31.0,34.4,29.6,29.8,30.1,34.7,33.1 ,Infections
Paraguay,,16.3,25.9,20.7,23.2,22.9,21.6,21.6,20.8,21.6,23.3,22.0,20.2,19.0,18.8,21.2 ,Infections
Peru,,,,,,,,,,,,,,,, ,Infections
Philippines,,,,,70.7,74.1,78.4,75.8,75.0,79.3,,,84.5,92.6,93.0,98.8 ,Infections
Poland,,3.1,3.2,4.3,5.4,5.0,5.2,5.1,4.4,4.7,4.7,4.6,5.1,5.2,5.1,5.4 ,Infections
Portugal,,9.9,11.2,11.2,11.5,13.4,13.8,14.5,14.5,,,,16.2,15.3,15.9,17.9 ,Infections
Puerto Rico,,23.8,23.2,24.0,25.9,25.4,28.5,29.0,30.2,31.0,33.5,32.7,30.7,33.3,37.0,33.6 ,Infections
Qatar,,7.5,4.3,3.4,4.2,10.9,7.2,8.7,3.8,3.0,2.8,12.0,,,35.1, ,Infections
Republic of Korea,,,9.3,10.4,10.4,10.8,10.2,9.8,9.8,10.4,11.1,10.7,11.6,12.9,13.4,15 ,Infections
Republic of Moldova,11.0,11.5,10.8,13.5,15.4,17.1,18.3,18.3,19.2,19.1,20.7,19.7,18.6,18.5,17.2,20.3 ,Infections
Reunion,,,8.4,9.4,8.8,9.5,9.4,9.4,13.0,33.0,13.7,10.0,10.9,12.7,12.6, ,Infections
Rodrigues,,,,,,,,,,,,,,,, ,Infections
