Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Japan,,221.9,226.6,231.2,245.1,234.6,232.4,241.2,242.4,246.8,254.1,252.6,257.3,258.9,266.2,274.5 ,All
Jordan,,,,,,,,,,,,,,,, ,All
Kazakhstan,605.7,624.9,650.8,697.8,720.3,740.6,723.8,782.6,806.0,821.0,841.9,827.0,864.3,846.1,847.3,818.2 ,All
Kiribati,,,,,,,,,,,,,,,, ,All
Kuwait,,347.6,346.5,402.6,362.2,400.8,461.8,433.0,427.2,621.9,649.0,710.4,705.9,486.1,528.8,574 ,All
Kyrgyzstan,641.5,659.7,659.1,706.7,720.1,728.6,744.7,762.0,771.2,808.2,799.9,778.2,821.0,810.5,738.2,794.2 ,All
Latvia,,461.0,488.9,492.5,495.6,529.0,537.9,552.8,609.5,615.6,608.8,617.1,636.2,625.6,643.0,621.8 ,All
Lithuania,455.8,441.4,463.3,461.0,472.9,489.9,496.8,538.3,554.1,563.7,553.0,537.1,538.9,552.3,552.6,548.5 ,All
Luxembourg,,,,,,,,,,,,,,,, ,All
Macau,,,,,,,,,,,,,,,, ,All
Malaysia,,,,,,,,,,,,,,,, ,All
Maldives,,,,,,,,,,,,,,,, ,All
Malta,,,,,,,,,,,,,,,, ,All
Martinique,,,,,,,,,,,,,,,, ,All
Mauritius,,533.2,527.6,560.3,538.9,569.2,568.2,583.3,584.3,652.6,613.1,628.7,645.9,638.8,637.3,649.2 ,All
Mayotte,,,,,,,,,,,,,,,, ,All
Mexico,,462.8,456.2,461.8,465.8,486.7,481.8,487.8,477.0,483.8,504.3,493.2,503.4,498.2,493.8,499 ,All
Monaco,,,,,,,,,,,,,,,, ,All
Mongolia,,,,,,,,,,,,,,,, ,All
Montenegro,,,,,,,547.2,540.4,597.4,608.5,597.9,602.7,639.1,606.9,621.5,605.2 ,All
Montserrat,,,,,,,,,,,,,,,, ,All
Morocco,,,,,,,,,,,,,,,, ,All
Netherlands,331.1,328.8,331.9,339.2,337.1,341.0,343.0,356.9,355.4,371.7,382.0,389.6,409.8,418.4,416.5,421.4 ,All
Netherlands Antilles,,,,,,,,,,,,,,,, ,All
New Zealand,,,,327.6,342.7,329.5,345.3,353.3,354.3,364.3,357.4,388.2,385.2,398.2,401.5,387.6 ,All
Nicaragua,,,,,,,,,,,,,,,, ,All
Norway,,301.4,314.8,323.6,319.6,329.0,331.0,334.9,344.1,345.0,347.0,356.2,370.1,387.4,385.7,391.7 ,All
Occupied Palestinian Territory,,,,,,,,,,,,,,,, ,All
Oman,,,,,,365.0,368.6,,,,,,,,, ,All
Panama,,372.6,375.4,373.0,369.1,379.4,367.3,377.0,383.4,393.4,412.6,399.6,399.2,393.2,400.4,393.4 ,All
Paraguay,,432.5,464.6,439.6,455.7,474.5,462.3,450.6,460.2,470.9,470.0,475.2,446.8,444.4,449.2,471.6 ,All
Peru,,,,,,,,,,,,,,,, ,All
Philippines,,,,,730.1,759.0,759.8,756.5,747.5,777.4,,,744.2,774.3,751.6,752 ,All
Poland,,384.0,403.7,407.9,407.9,421.0,443.0,447.1,456.1,461.4,475.6,481.6,499.5,497.3,515.1,532.6 ,All
Portugal,,291.3,306.1,318.7,314.1,332.9,344.7,350.4,356.5,,,,418.5,413.8,418.8,432.8 ,All
Puerto Rico,,353.8,349.4,365.2,372.0,370.7,369.1,378.7,383.5,377.0,400.3,398.6,395.5,391.5,413.9,418.2 ,All
Qatar,,391.4,348.7,368.3,402.4,413.3,441.8,492.1,481.3,551.6,556.8,548.6,,,710.4, ,All
Republic of Korea,,,270.7,285.3,287.9,299.6,305.6,320.5,340.5,353.0,372.5,386.7,405.0,426.1,430.9,455.1 ,All
Republic of Moldova,652.3,659.4,643.5,677.4,682.3,766.6,756.8,772.8,808.2,832.0,891.3,837.4,902.3,887.5,864.4,898.1 ,All
Reunion,,,308.2,316.3,316.0,340.4,329.0,350.2,361.2,401.0,418.7,395.1,408.4,415.3,404.4, ,All
Rodrigues,,,,,,,,,,,,,,,, ,All
Romania,485.2,481.4,485.0,528.8,527.9,553.4,560.3,567.1,585.7,620.0,645.4,649.8,679.5,693.2,668.7,680 ,All
Russian Federation,,,,,621.6,666.9,676.1,704.2,717.7,757.3,802.3,805.8,838.7,821.3,802.2,799.5 ,All
Saint Kitts and Nevis,,,,,,,,,,,,,,,, ,All
Saint Lucia,,,,,,,,,,,,,,,, ,All
Saint Pierre and Miquelon,,,,,,,,,,,,,,,, ,All
Saint Vincent and Grenadines,,,,,,,,,,,,,,,, ,All
San Marino,,,,,,,,,,,,,,,, ,All
Sao Tome and Principe,,,,,,,,,,,,,,,, ,All
Saudi Arabia,,,,,,,,,,,,,,,, ,All
Serbia,,554.3,555.7,581.9,594.6,600.7,615.6,621.6,631.2,646.1,687.8,690.9,714.5,718.2,701.6,750.3 ,All
Seychelles,,,,,,,,,,,,,,,, ,All
Singapore,259.9,267.8,275.7,281.4,288.8,290.7,297.1,317.4,325.5,323.2,333.0,339.1,361.9,379.2,381.5,408.4 ,All
Slovakia,,428.1,444.0,457.3,,482.4,489.2,495.0,518.8,522.5,540.5,538.9,552.6,550.6,557.4,560.8 ,All
Slovenia,313.5,,321.6,332.3,331.2,337.7,352.7,354.9,372.3,377.4,417.0,418.6,441.2,429.0,434.1,451.2 ,All
South Africa,,883.2,906.5,988.9,1082.2,1186.2,1295.0,1417.7,1416.9,1476.0,1474.6,1447.6,1470.6,1379.2,, ,All
