Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Italy,,,,6.3,5.9,5.2,5.0,4.7,4.7,4.4,,,5.0,3.6,3.3,3.3 ,Infections
Jamaica,,,,,22.2,21.3,22.4,,,19.0,25.6,26.0,22.6,26.0,24.4,23.9 ,Infections
Japan,,4.9,5.1,5.4,5.5,5.6,5.6,5.8,5.8,6.0,5.9,5.6,5.7,5.6,5.9,5.9 ,Infections
Jordan,,,,,,,,,,,,,,,, ,Infections
Kazakhstan,5.4,5.8,6.3,6.5,6.9,8.1,9.6,11.5,12.1,12.5,13.6,12.8,14.4,15.9,15.2,17.6 ,Infections
Kiribati,,,,,,,,,,,,,,,, ,Infections
Kuwait,,36.6,24.7,22.1,19.2,15.8,17.2,14.6,14.4,21.1,14.6,22.2,27.3,12.5,14.9,13.1 ,Infections
Kyrgyzstan,10.1,10.4,11.1,10.4,12.1,11.9,11.1,12.4,12.4,15.5,13.4,13.9,13.8,16.2,18.9,18.1 ,Infections
Latvia,,7.0,9.4,6.8,5.7,5.8,6.2,6.7,5.7,6.6,6.4,5.9,7.8,6.2,6.8,6.6 ,Infections
Lithuania,9.3,7.7,7.0,7.3,6.2,5.5,5.3,6.6,5.2,6.0,4.8,4.2,4.9,5.2,4.4,5.3 ,Infections
Luxembourg,,,,,,,,,,,,,,,, ,Infections
Macau,,,,,,,,,,,,,,,, ,Infections
Malaysia,,,,,,,,,,,,,,,, ,Infections
Maldives,,,,,,,,,,,,,,,, ,Infections
Malta,,,,,,,,,,,,,,,, ,Infections
Martinique,,,,,,,,,,,,,,,, ,Infections
Mauritius,,7.6,13.1,15.6,11.7,12.7,11.2,11.1,8.2,15.7,10.0,8.8,7.6,7.8,8.4,12 ,Infections
Mayotte,,,,,,,,,,,,,,,, ,Infections
Mexico,,10.9,12.4,12.3,12.4,12.4,12.6,14.4,14.2,14.7,15.4,15.3,16.3,16.5,16.7,16.8 ,Infections
Monaco,,,,,,,,,,,,,,,, ,Infections
Mongolia,,,,,,,,,,,,,,,, ,Infections
Montenegro,,,,,,,0.7,0.2,1.2,1.0,0.3,1.1,1.1,0.0,1.4,1.1 ,Infections
Montserrat,,,,,,,,,,,,,,,, ,Infections
Morocco,,,,,,,,,,,,,,,, ,Infections
Netherlands,7.3,7.0,7.0,5.1,5.4,5.3,5.0,5.4,5.0,5.4,5.6,5.6,5.9,5.5,5.6,5.4 ,Infections
Netherlands Antilles,,,,,,,,,,,,,,,, ,Infections
New Zealand,,,,3.7,3.6,3.2,3.4,2.8,2.9,2.1,1.9,2.3,2.9,3.0,2.8,2.7 ,Infections
Nicaragua,,,,,,,,,,,,,,,, ,Infections
