Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Ireland,,,154.4,156.8,163.0,152.9,174.4,168.1,168.3,172.0,166.8,178.5,176.0,183.0,185.4,191.6 ,Neoplazm
Israel,,118.1,118.7,123.5,121.4,127.2,125.4,130.9,133.3,132.7,136.9,137.5,143.8,145.6,144.8,146.5 ,Neoplazm
Italy,,,,161.5,163.8,164.2,168.0,170.8,174.2,177.4,,,189.5,189.1,196.0,195.7 ,Neoplazm
Jamaica,,,,,137.2,133.6,138.3,,,132.1,134.1,133.5,133.2,123.7,130.1,144.2 ,Neoplazm
Japan,,140.3,143.3,146.0,148.9,151.3,152.0,156.7,158.9,160.7,164.2,167.7,167.6,170.4,174.1,177.7 ,Neoplazm
Jordan,,,,,,,,,,,,,,,, ,Neoplazm
Kazakhstan,132.7,137.1,149.5,153.8,152.3,166.4,168.6,173.2,179.3,176.4,188.7,188.6,195.0,197.6,204.2,213.8 ,Neoplazm
Kiribati,,,,,,,,,,,,,,,, ,Neoplazm
Kuwait,,56.8,56.9,61.3,62.0,60.2,69.7,60.1,72.3,78.6,66.3,68.4,64.2,77.0,73.5,77.9 ,Neoplazm
Kyrgyzstan,115.8,120.9,112.7,110.6,115.7,112.2,118.1,104.4,105.1,109.1,113.5,110.0,110.5,112.6,112.5,114.8 ,Neoplazm
Latvia,,226.0,224.8,228.9,226.5,232.6,229.5,235.4,231.4,238.1,236.3,234.9,230.5,229.4,236.3,223.6 ,Neoplazm
Lithuania,218.5,214.1,207.1,213.6,217.7,223.2,223.5,222.7,233.3,229.0,220.3,223.6,219.2,224.6,227.4,228.8 ,Neoplazm
Luxembourg,,,,,,,,,,,,,,,, ,Neoplazm
Macau,,,,,,,,,,,,,,,, ,Neoplazm
Malaysia,,,,,,,,,,,,,,,, ,Neoplazm
Maldives,,,,,,,,,,,,,,,, ,Neoplazm
Malta,,,,,,,,,,,,,,,, ,Neoplazm
Martinique,,,,,,,,,,,,,,,, ,Neoplazm
Mauritius,,99.4,104.6,100.9,97.5,102.0,102.4,108.2,101.8,98.1,95.0,104.4,109.0,103.4,112.4,87.3 ,Neoplazm
Mayotte,,,,,,,,,,,,,,,, ,Neoplazm
Mexico,,81.9,80.8,83.8,83.7,85.6,85.7,88.8,87.1,90.0,93.2,92.1,93.7,93.3,91.1,92.6 ,Neoplazm
Monaco,,,,,,,,,,,,,,,, ,Neoplazm
Mongolia,,,,,,,,,,,,,,,, ,Neoplazm
Montenegro,,,,,,,124.9,140.2,145.5,150.7,158.5,158.4,166.6,162.0,144.8,147.5 ,Neoplazm
Montserrat,,,,,,,,,,,,,,,, ,Neoplazm
Morocco,,,,,,,,,,,,,,,, ,Neoplazm
Netherlands,157.7,163.2,161.4,169.2,169.4,176.2,176.0,176.8,179.7,181.7,186.1,191.2,194.1,196.9,199.2,202.9 ,Neoplazm
Netherlands Antilles,,,,,,,,,,,,,,,, ,Neoplazm
New Zealand,,,,142.0,144.0,144.6,146.0,155.4,160.0,151.9,157.9,165.6,170.4,172.6,178.9,180.5 ,Neoplazm
Nicaragua,,,,,,,,,,,,,,,, ,Neoplazm
Norway,,134.6,135.4,140.3,145.3,147.8,147.3,151.1,152.8,151.4,157.2,159.8,162.2,167.5,165.5,167.6 ,Neoplazm
Occupied Palestinian Territory,,,,,,,,,,,,,,,, ,Neoplazm
Oman,,,,,,29.7,39.9,,,,,,,,, ,Neoplazm
Panama,,94.2,92.7,101.6,91.3,95.4,94.0,99.4,102.3,97.1,101.5,95.1,103.5,98.2,96.6,103.4 ,Neoplazm
Paraguay,,89.6,90.7,86.4,90.2,95.2,93.9,90.4,89.1,90.1,88.9,87.9,83.6,82.3,87.6,84.8 ,Neoplazm
Peru,,,,,,,,,,,,,,,, ,Neoplazm
Philippines,,,,,104.0,107.2,108.5,111.1,111.7,113.2,,,113.2,114.3,112.3,112.6 ,Neoplazm
Poland,,200.2,202.6,207.3,207.6,212.4,219.2,222.2,228.1,229.3,230.2,235.9,235.4,239.5,239.2,237.1 ,Neoplazm
Portugal,,162.7,166.3,167.3,168.0,169.2,167.4,169.3,168.2,,,,175.5,174.2,172.8,174.2 ,Neoplazm
Puerto Rico,,119.4,116.1,121.9,122.7,121.3,120.7,119.9,119.9,116.8,118.3,118.2,114.6,119.0,123.3,122.5 ,Neoplazm
Qatar,,41.6,41.2,49.8,49.8,50.8,51.2,54.0,60.3,60.1,82.1,61.5,,,64.7, ,Neoplazm
Republic of Korea,,,158.1,163.7,165.4,174.0,175.7,184.6,188.3,191.8,196.6,203.5,208.0,215.7,209.8,213.5 ,Neoplazm
Republic of Moldova,179.2,175.8,175.7,179.8,172.1,176.3,178.1,172.3,168.9,176.1,172.8,171.1,161.5,164.1,157.7,154 ,Neoplazm
Reunion,,,138.5,158.0,148.2,160.2,173.0,176.4,159.5,173.8,194.8,186.9,190.9,186.2,188.7, ,Neoplazm
Rodrigues,,,,,,,,,,,,,,,, ,Neoplazm
Romania,186.5,187.3,185.6,194.5,192.8,191.3,192.3,191.1,187.5,187.4,187.1,184.5,184.9,183.9,180.7,174.7 ,Neoplazm
