Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Italy,,,,10.4,9.4,8.5,8.6,8.4,8.6,8.1,,,9.0,6.9,6.5,6.5 ,Infections
Jamaica,,,,,32.5,37.5,35.0,,,28.6,33.9,35.7,35.0,36.1,38.6,38.7 ,Infections
Japan,,7.6,7.9,8.6,8.9,9.1,9.2,9.4,9.7,10.0,10.3,10.1,10.3,10.0,10.6,11 ,Infections
Jordan,,,,,,,,,,,,,,,, ,Infections
Kazakhstan,11.9,13.0,14.9,17.8,19.9,23.6,27.2,33.5,35.6,40.0,45.1,42.9,46.4,50.3,51.7,58.5 ,Infections
Kiribati,,,,,,,,,,,,,,,, ,Infections
Kuwait,,33.8,22.3,26.0,21.0,14.5,17.4,14.7,11.4,15.9,14.2,19.8,18.2,24.3,16.2,15.8 ,Infections
Kyrgyzstan,23.7,25.1,28.3,28.4,29.8,25.9,28.7,31.0,37.8,39.2,39.2,40.5,46.4,51.5,61.2,60.2 ,Infections
Latvia,,16.3,18.1,14.2,14.7,13.6,16.9,15.2,16.3,17.0,16.8,16.2,17.1,18.1,22.5,22.1 ,Infections
Lithuania,21.9,21.8,21.8,21.3,19.6,17.4,16.9,20.7,20.0,19.7,21.4,18.7,19.1,18.6,19.2,20.1 ,Infections
Luxembourg,,,,,,,,,,,,,,,, ,Infections
Macau,,,,,,,,,,,,,,,, ,Infections
Malaysia,,,,,,,,,,,,,,,, ,Infections
Maldives,,,,,,,,,,,,,,,, ,Infections
Malta,,,,,,,,,,,,,,,, ,Infections
Martinique,,,,,,,,,,,,,,,, ,Infections
Mauritius,,24.2,33.0,29.8,31.4,27.3,20.4,22.8,18.1,23.3,15.4,14.1,13.0,16.0,11.7,13.2 ,Infections
Mayotte,,,,,,,,,,,,,,,, ,Infections
Mexico,,18.1,20.6,20.3,20.8,20.6,21.2,23.2,23.1,24.3,24.8,24.8,26.9,27.2,27.8,28.5 ,Infections
Monaco,,,,,,,,,,,,,,,, ,Infections
Mongolia,,,,,,,,,,,,,,,, ,Infections
Montenegro,,,,,,,0.8,1.6,2.5,2.3,3.3,2.3,4.2,2.6,1.4,2.6 ,Infections
Montserrat,,,,,,,,,,,,,,,, ,Infections
Morocco,,,,,,,,,,,,,,,, ,Infections
Netherlands,10.3,9.9,10.2,7.7,6.9,7.6,7.6,7.5,7.3,7.8,7.5,8.0,8.2,8.0,7.8,7.9 ,Infections
Netherlands Antilles,,,,,,,,,,,,,,,, ,Infections
New Zealand,,,,4.5,4.5,4.1,4.7,3.8,3.8,3.9,3.2,3.7,2.8,2.8,4.9,4.6 ,Infections
Nicaragua,,,,,,,,,,,,,,,, ,Infections
Norway,,8.6,9.4,10.1,10.0,9.2,10.3,10.0,8.5,8.6,9.8,6.8,7.8,7.1,6.8,6.8 ,Infections
Occupied Palestinian Territory,,,,,,,,,,,,,,,, ,Infections
Oman,,,,,,40.0,20.9,,,,,,,,, ,Infections
Panama,,41.9,42.0,41.6,39.6,48.5,47.3,48.6,43.1,41.9,44.9,38.3,40.5,41.0,47.3,45.8 ,Infections
Paraguay,,21.2,31.5,24.3,28.0,28.4,26.5,26.2,25.4,27.0,28.6,26.1,23.9,25.0,21.5,25 ,Infections
Peru,,,,,,,,,,,,,,,, ,Infections
Philippines,,,,,96.3,99.8,107.3,105.3,104.4,113.3,,,122.0,132.2,132.8,140.6 ,Infections
Poland,,4.3,4.6,5.8,7.5,7.1,7.3,7.3,6.4,6.8,7.0,6.9,7.7,7.5,7.4,8 ,Infections
Portugal,,14.0,15.3,15.9,16.1,19.1,19.2,20.4,21.1,,,,24.3,24.1,25.3,27 ,Infections
Puerto Rico,,32.9,31.6,32.3,36.0,34.8,39.4,40.4,42.1,43.9,46.6,46.1,43.7,46.3,51.5,46.6 ,Infections
Qatar,,8.2,4.9,2.6,3.4,11.9,9.7,11.4,1.9,2.2,0.9,9.6,,,35.1, ,Infections
Republic of Korea,,,12.7,14.5,14.6,15.3,14.2,14.5,14.7,15.7,16.6,17.0,18.9,21.1,21.3,23.9 ,Infections
Republic of Moldova,16.5,18.5,17.7,22.9,26.4,29.1,29.2,30.2,31.6,32.4,35.4,32.9,30.7,31.2,28.6,34.5 ,Infections
Reunion,,,11.5,10.8,11.8,11.8,12.6,12.8,15.7,47.1,17.8,12.0,14.5,18.0,22.2, ,Infections
Rodrigues,,,,,,,,,,,,,,,, ,Infections
Romania,11.9,11.7,10.9,12.2,12.1,13.5,13.6,14.5,14.0,15.7,15.9,18.3,19.7,21.1,22.3,19.9 ,Infections
Russian Federation,,,,,32.5,32.8,33.9,34.9,34.8,36.7,40.1,38.4,39.1,39.1,38.3,39.8 ,Infections
Saint Kitts and Nevis,,,,,,,,,,,,,,,, ,Infections
Saint Lucia,,,,,,,,,,,,,,,, ,Infections
Saint Pierre and Miquelon,,,,,,,,,,,,,,,, ,Infections
Saint Vincent and Grenadines,,,,,,,,,,,,,,,, ,Infections
San Marino,,,,,,,,,,,,,,,, ,Infections
Sao Tome and Principe,,,,,,,,,,,,,,,, ,Infections
Saudi Arabia,,,,,,,,,,,,,,,, ,Infections
Serbia,,5.3,5.6,4.5,4.6,4.8,4.9,4.4,5.1,5.3,7.0,6.5,6.6,7.0,7.0,8.1 ,Infections
Seychelles,,,,,,,,,,,,,,,, ,Infections
Singapore,4.4,5.5,5.9,5.9,6.7,6.5,8.1,8.4,10.0,6.6,12.0,10.5,9.3,10.3,10.4,10.4 ,Infections
Slovakia,,5.1,5.1,3.2,,5.9,5.6,5.3,4.8,4.9,4.2,5.0,5.7,4.3,3.7,3.8 ,Infections
Slovenia,3.2,,3.0,2.5,2.1,2.9,2.6,4.7,5.3,4.5,6.5,4.6,4.5,5.8,5.7,4.9 ,Infections
South Africa,,252.1,262.9,278.9,304.7,340.2,372.1,409.1,384.0,401.3,368.4,351.6,345.6,311.1,, ,Infections
Spain,,7.8,7.9,8.4,8.8,9.4,10.1,11.5,12.4,12.2,13.5,13.6,13.9,13.8,13.9,14.2 ,Infections
