Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Jamaica,,,,,660.7,593.7,707.7,,,555.0,753.9,588.1,616.8,646.5,701.3,704.4 ,All
Japan,,415.5,426.8,438.5,458.4,455.4,452.0,465.6,469.4,477.4,495.9,491.1,502.3,502.8,513.9,529.1 ,All
Jordan,,,,,,,,,,,,,,,, ,All
Kazakhstan,1103.3,1135.9,1198.1,1280.1,1311.9,1350.1,1325.1,1458.9,1564.2,1569.2,1602.2,1580.6,1642.5,1584.6,1594.8,1653.9 ,All
Kiribati,,,,,,,,,,,,,,,, ,All
Kuwait,,396.7,409.0,433.1,414.3,454.1,502.1,492.0,494.9,604.5,569.1,582.3,577.3,599.4,599.9,629.9 ,All
Kyrgyzstan,1050.0,1110.0,1103.5,1172.0,1185.9,1206.7,1224.0,1238.8,1287.9,1320.9,1290.6,1229.0,1307.0,1290.7,1229.7,1289 ,All
Latvia,,985.5,991.4,1028.2,1040.8,1102.0,1111.1,1189.9,1269.6,1301.0,1308.1,1259.3,1265.3,1310.1,1324.8,1289.1 ,All
Lithuania,990.1,981.6,1023.5,1029.0,1051.3,1089.0,1109.8,1182.1,1281.3,1243.2,1231.6,1155.8,1165.1,1173.0,1177.9,1119.6 ,All
Luxembourg,,,,,,,,,,,,,,,, ,All
Macau,,,,,,,,,,,,,,,, ,All
Malaysia,,,,,,,,,,,,,,,, ,All
Maldives,,,,,,,,,,,,,,,, ,All
Malta,,,,,,,,,,,,,,,, ,All
Martinique,,,,,,,,,,,,,,,, ,All
Mauritius,,856.9,870.4,905.3,943.0,933.3,937.3,997.1,956.8,1063.6,1033.7,1021.0,1063.2,1052.3,1022.0,1063.3 ,All
Mayotte,,,,,,,,,,,,,,,, ,All
Mexico,,669.5,668.7,680.8,690.2,717.7,704.3,712.9,686.7,700.9,724.6,710.5,726.8,722.3,712.4,728.2 ,All
Monaco,,,,,,,,,,,,,,,, ,All
Mongolia,,,,,,,,,,,,,,,, ,All
