Country,Year,ICD rev and list,Cause group,Sex,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Austria,2010,104,B,M,00,36692,175,14,8,8,3,13,22,137,240,193,212,318,544,1001,1483,1863,2813,3841,4275,4989,6301,5342,2009,888,0
Australia,2009,104,A,F,00,18272,2,0,2,4,2,11,15,18,23,66,70,166,312,605,910,1211,1626,1821,2114,2396,2855,2444,1183,416,0
Australia,2009,104,B,F,00,68440,533,44,17,20,18,56,67,157,198,270,287,526,689,1202,1634,2087,2808,3427,4692,6970,11543,14383,10961,5850,1
Australia,2009,104,A,M,00,23693,3,4,1,5,5,18,13,34,27,37,75,141,249,500,883,1447,2273,2760,3406,3780,4086,2727,979,240,0
Australia,2009,104,B,M,00,72320,728,57,32,19,23,78,84,378,529,644,740,984,1258,1802,2515,3347,4796,5714,7398,9845,12624,11225,5660,1830,10
Austria,2009,104,A,F,00,9523,0,1,1,0,2,4,4,7,6,17,20,74,124,255,422,497,740,1102,988,1322,1669,1623,455,190,0
Austria,2009,104,B,F,00,40751,131,16,9,3,6,17,25,51,66,75,90,162,298,514,763,914,1416,2268,2516,4379,7908,10922,4926,3276,0
Austria,2009,104,A,M,00,10772,1,0,1,1,1,6,7,13,14,18,18,52,132,287,483,739,1122,1631,1486,1694,1650,1052,272,92,0
Austria,2009,104,B,M,00,36630,158,11,11,7,3,22,33,152,201,197,202,320,599,1045,1415,1959,2787,4031,3940,5398,6268,5244,1770,857,0
Australia,2008,104,A,M,00,23913,6,6,4,2,2,15,15,18,45,51,68,137,270,511,901,1509,2258,2756,3308,4075,4056,2691,981,228,0
Australia,2008,104,B,M,00,73548,702,54,40,23,19,75,82,361,565,639,743,964,1239,1810,2507,3350,4675,5792,7420,10572,13085,11216,5770,1834,11
Australia,2008,104,A,F,00,18510,4,2,3,3,2,20,8,23,36,44,78,168,325,576,860,1157,1680,1741,2108,2600,3011,2478,1207,376,0
Australia,2008,104,B,F,00,70398,524,40,28,16,13,62,49,168,195,236,325,492,689,1117,1492,2055,2885,3399,4783,7618,12118,14505,11629,5957,3
Austria,2008,104,A,M,00,10825,1,0,1,1,2,2,4,10,19,17,16,50,120,273,486,789,1105,1662,1393,1809,1622,1018,331,94,0
Austria,2008,104,B,M,00,35156,175,14,7,8,6,14,27,146,216,187,196,338,568,959,1312,1905,2628,3905,3579,5417,5987,4815,1934,813,0
Austria,2008,104,A,F,00,9596,1,0,0,0,0,7,3,10,8,14,33,69,125,222,417,555,705,1125,919,1408,1721,1552,515,187,0
Austria,2008,104,B,F,00,39927,112,15,6,2,3,17,15,70,73,69,90,144,280,476,745,952,1338,2207,2318,4504,8211,9940,5289,3051,0
Australia,2007,104,A,F,00,17533,5,3,2,3,1,21,8,26,27,52,84,185,314,559,833,1180,1594,1717,2015,2484,2823,2130,1099,368,0
Australia,2007,104,B,F,00,67285,548,38,19,18,8,55,74,165,207,244,341,495,730,1097,1527,2045,2784,3338,4622,7524,11625,13485,10939,5355,2
Australia,2007,104,A,M,00,22798,3,2,4,5,6,17,14,30,46,54,65,144,243,581,916,1533,2196,2716,3056,3994,3724,2358,877,213,1
Australia,2007,104,B,M,00,70569,655,50,34,34,24,64,88,353,575,631,712,972,1152,1816,2438,3424,4566,5702,7094,10639,12503,10104,5257,1673,9
Austria,2007,104,A,F,00,9281,0,0,0,1,1,7,7,8,10,12,20,59,146,282,384,554,727,1053,924,1349,1710,1346,496,185,0
Austria,2007,104,B,F,00,39647,122,14,3,4,3,12,20,59,61,65,83,162,323,508,681,1039,1322,2127,2383,4582,8511,8996,5645,2922,0
Austria,2007,104,A,M,00,10239,1,1,0,1,1,7,4,8,11,9,24,51,143,248,475,785,1050,1548,1427,1787,1494,827,261,76,0
Austria,2007,104,B,M,00,34978,158,12,4,8,7,22,29,165,239,183,239,366,599,959,1344,1985,2564,3828,3789,5647,5898,4130,2036,767,0
