Country-years:
   South Africa (2014,2013,2012,2011,2010,2009,2008,2007)
   United States of America (2014,2013,2012,2011,2010,2009,2008,2007)
   Japan (2014,2013,2012,2011,2010,2009,2008,2007)
   Finland (2014,2013,2012,2011,2010,2009,2008,2007)
   Germany (2014,2013,2012,2011,2010,2009,2008,2007)
   Netherlands (2014,2013,2012,2011,2010,2009,2008,2007)
   Norway (2014,2013,2012,2011,2010,2009,2008,2007)
   Sweden (2014,2013,2012,2011,2010,2009,2008,2007)
   United Kingdom (2013,2012,2011,2009,2008,2007)
Cause groups:
  A:C00-D48
  B:TOT
Sex: All sexes
Data source: WHO mortality database
Date: Tue Oct 31 13:08:12 CET 2017
Country,Year,ICD rev and list,Cause group,Sex,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Sweden,2011,104,A,M,00,11860,3,4,0,1,0,5,4,14,11,16,16,56,76,156,263,528,976,1633,1720,1872,1982,1659,740,125,0
Sweden,2011,104,B,F,00,46345,107,12,2,5,4,25,21,59,77,89,103,151,210,379,614,954,1687,2417,3057,4345,7422,10764,9304,4537,0
United Kingdom,2011,104,B,F,00,284741,1453,118,59,42,38,112,140,316,491,675,950,1446,2559,3955,5594,7568,12401,15909,21850,32244,47474,58346,45339,25662,0
United Kingdom,2011,104,A,F,00,77424,14,8,11,10,11,26,31,49,89,168,271,476,1037,1883,2882,4102,6809,8300,9597,11290,12266,10701,5516,1877,0
United Kingdom,2011,104,B,M,00,267491,2049,143,81,46,40,181,184,681,1164,1433,1778,2600,4150,5793,7971,11329,18233,22924,30384,38332,46070,42107,22538,7280,0
United Kingdom,2011,104,A,M,00,85647,10,11,14,5,9,60,52,71,107,147,210,362,735,1427,2539,4549,7949,10471,12938,14403,14220,10261,4117,980,0
United States of America,2011,104,B,M,00,1254978,13327,918,619,492,376,1380,1799,7618,14306,14692,15393,17353,25862,43514,68195,89129,107512,111373,122903,142371,170322,159865,94374,31186,99
United States of America,2011,104,A,F,00,281715,50,51,37,43,58,219,193,276,423,639,1219,2273,4523,8962,15889,21731,28993,32114,34342,36540,38529,32136,16749,5723,3
United States of America,2011,104,A,M,00,310024,74,45,51,69,45,263,257,408,604,748,1057,1746,3426,7933,16784,26793,36544,39592,42136,42961,41970,30452,13068,2995,3
United States of America,2011,104,B,F,00,1260480,10658,754,444,345,298,1071,1151,2976,4767,5880,7783,10125,16553,28160,43378,55143,71531,82102,98674,129905,183627,224047,179839,101234,35
Finland,2010,104,A,F,00,5640,2,0,0,0,3,6,4,4,5,7,13,32,68,121,215,333,560,560,715,831,973,755,342,91,0
Finland,2010,104,B,M,00,25547,81,5,5,5,5,14,15,83,187,203,204,232,395,656,1064,1716,2579,2401,2876,3587,4265,3107,1428,434,0
Finland,2010,104,A,M,00,6241,2,1,1,1,1,6,3,6,4,12,19,19,48,106,216,429,805,813,928,1050,1022,524,193,32,0
Finland,2010,104,B,F,00,25363,57,7,4,3,4,16,9,30,57,63,70,85,172,310,510,734,1158,1189,1698,2751,4655,5940,4003,1838,0
Germany,2010,104,A,F,00,104091,11,4,7,5,7,38,35,56,72,155,260,562,1357,2703,4235,5884,7426,10815,15352,15246,17186,15118,5345,2212,0
Germany,2010,104,B,M,00,409022,1294,102,68,47,44,173,221,762,1308,1587,1770,2680,5578,10328,15810,21865,26441,40850,62325,65215,71269,51836,19323,8126,0
Germany,2010,104,A,M,00,121064,16,4,6,6,10,40,48,82,115,164,258,458,1065,2703,5265,8282,10765,16808,23265,20365,17973,9879,2746,741,0
Germany,2010,104,B,F,00,449746,1028,95,53,33,40,143,144,376,536,624,791,1348,3044,5565,8308,11079,14146,22289,38202,51872,83350,110539,58126,38015,0
Japan,2010,104,A,F,00,147034,18,10,10,16,12,65,58,62,91,188,457,1004,1644,2528,4087,7191,11212,12937,15963,21347,24890,23347,14055,5839,3
Japan,2010,104,B,M,00,633700,1355,221,112,99,86,261,350,941,1962,2412,3177,4867,6629,9566,14638,27134,46155,57468,73470,102673,119801,89905,49199,20709,510
Japan,2010,104,A,M,00,216629,10,9,12,17,15,66,77,101,150,216,346,676,1244,2320,4783,10921,21235,27392,32993,40822,38980,22762,8923,2538,21
Japan,2010,104,B,F,00,563312,1095,185,104,76,49,219,203,481,791,1025,1660,2688,3533,4966,7376,12192,19941,25619,36778,60415,91456,117382,102760,72190,128
Netherlands,2010,104,A,F,00,19835,5,3,4,0,1,12,8,15,14,30,63,163,322,592,1014,1450,2112,2149,2383,2714,2873,2470,1079,359,0
Netherlands,2010,104,B,M,00,65977,378,23,20,17,15,38,61,147,233,209,284,456,792,1349,2121,3300,5316,6375,7794,10577,11353,9520,4354,1245,0
Netherlands,2010,104,A,M,00,23686,2,1,5,4,3,13,19,13,27,34,42,124,227,492,865,1560,2646,3257,3618,4095,3601,2161,723,154,0
Netherlands,2010,104,B,F,00,70081,317,27,15,6,13,38,36,64,78,109,190,318,593,1041,1700,2389,3431,3891,5163,7931,11945,15085,10688,5013,0
Norway,2010,104,A,F,00,5244,0,1,0,1,1,1,2,10,8,8,18,38,60,117,192,341,493,566,569,681,800,787,414,136,0
Norway,2010,104,B,M,00,19976,88,6,3,4,1,14,23,60,128,144,130,155,247,371,569,867,1401,1682,1865,2633,3566,3520,1958,541,0
Norway,2010,104,A,M,00,5919,1,1,0,1,1,5,4,5,6,10,18,18,40,86,176,317,583,786,744,939,1020,775,323,60,0
Norway,2010,104,B,F,00,21466,69,12,0,3,2,14,8,40,54,53,58,86,149,224,390,549,875,1052,1310,2010,3426,5037,4105,1940,0
South Africa,2010,103,B,F,00,263103,15944,3525,1202,741,547,2066,2093,3923,10549,19242,21192,20171,17454,16189,15055,14182,14638,14476,16527,15994,16100,10432,7252,3395,214
South Africa,2010,103,A,F,00,18083,21,19,28,24,19,43,64,90,165,351,542,803,1041,1431,1715,1842,2040,1947,2014,1620,1228,658,286,85,7
South Africa,2010,103,B,M,00,279682,18128,3990,1404,818,719,2502,2398,4354,9329,16310,22170,24512,23082,22694,21778,20731,19884,17118,15702,11688,9850,5727,2874,1178,742
South Africa,2010,103,A,M,00,18231,18,14,13,19,25,67,58,105,139,236,364,526,706,1205,1700,2181,2391,2380,2184,1689,1247,669,230,57,8
South Africa,2010,103,B,U,00,1071,359,25,11,3,2,5,3,18,32,61,65,45,44,53,30,32,26,19,12,8,11,5,3,4,195
South Africa,2010,103,A,U,00,26,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,3,4,2,3,0,0,0,0,0,6
Sweden,2010,104,B,F,00,46600,134,15,6,5,4,19,19,60,75,72,93,134,217,374,595,975,1849,2440,3018,4590,7491,11057,9017,4341,0
Sweden,2010,104,A,F,00,10772,4,0,0,1,2,7,3,14,8,18,25,51,106,198,316,526,1026,1251,1347,1530,1728,1632,781,198,0
Sweden,2010,104,B,M,00,43919,160,13,8,7,8,13,25,110,209,215,200,227,385,625,978,1554,2790,3727,4353,5896,7808,8434,4759,1415,0
Sweden,2010,104,A,M,00,11677,1,0,1,1,2,4,5,10,14,13,23,39,87,133,265,539,1033,1491,1617,1924,2018,1689,628,140,0
United States of America,2010,104,A,M,00,308830,56,51,58,68,55,256,261,390,665,816,1078,1802,3490,8498,17110,26177,35372,39669,41496,43320,42159,30445,12456,3077,5
United States of America,2010,104,B,F,00,1236236,10886,808,446,339,268,1012,1227,3028,4746,5842,7239,10411,16209,28649,42592,53207,68347,80455,97014,130356,183487,221745,170948,96936,39
United States of America,2010,104,B,M,00,1233052,13704,928,664,508,366,1330,1739,7880,13951,14468,14795,17648,25849,45000,67126,86829,102581,109575,120221,143041,168863,157719,88596,29582,89
United States of America,2010,104,A,F,00,280993,54,45,38,45,49,220,262,257,387,676,1220,2284,4518,9384,16001,21290,28127,31918,34163,36976,39306,32280,15936,5557,0
Finland,2009,104,A,M,00,5953,1,1,0,1,0,3,4,7,12,12,19,25,40,104,181,421,768,750,954,1044,873,531,155,47,0
Finland,2009,104,B,F,00,24752,82,4,4,3,2,8,18,40,52,62,72,90,197,328,490,801,1132,1154,1684,2719,4653,5641,3796,1720,0
Finland,2009,104,A,F,00,5357,1,1,1,0,0,2,7,4,3,5,7,20,67,130,196,355,592,542,649,798,868,703,318,88,0
Finland,2009,104,B,M,00,25152,78,5,2,3,3,12,17,106,160,182,237,256,429,766,1100,1681,2472,2390,2907,3611,4011,2987,1293,444,0
Germany,2009,104,A,M,00,119406,16,7,8,10,10,48,52,72,94,162,227,439,1214,2763,5184,8427,10483,18229,22398,19802,17093,9669,2254,745,0
Germany,2009,104,B,F,00,449575,995,88,47,43,38,147,187,405,552,629,828,1440,3162,5733,8075,11250,13466,24360,37586,51447,85827,112539,52875,37856,0
Germany,2009,104,A,F,00,102747,11,7,7,7,10,36,52,57,75,149,272,555,1436,2798,4198,5995,7067,11793,14776,14779,17061,14951,4571,2084,0
Germany,2009,104,B,M,00,404969,1339,136,65,52,60,171,218,844,1344,1566,1761,2779,5874,10681,15700,21930,25438,44400,61031,64154,68706,51447,16930,8343,0
Japan,2009,104,A,M,00,211480,16,14,6,15,14,66,71,106,148,167,392,755,1254,2312,5121,11927,20149,27049,33005,40490,37195,20330,8494,2370,14
Japan,2009,104,B,F,00,532823,1115,180,91,81,58,241,205,473,914,1193,1675,2725,3558,4963,7370,12811,18352,25281,36473,58700,88423,109489,94227,64131,94
Japan,2009,104,A,F,00,142461,22,13,13,15,15,73,58,51,102,214,452,1019,1628,2583,4149,7406,10201,12991,15837,20958,24313,22114,12910,5321,3
Japan,2009,104,B,M,00,609042,1441,225,110,83,76,293,282,994,2046,2368,3256,5061,6817,9621,15316,29123,43254,56771,73054,100771,112983,80424,45519,18617,537
Netherlands,2009,104,A,M,00,23001,4,4,3,3,3,12,10,19,28,46,48,95,227,456,881,1554,2675,3046,3606,3990,3453,2059,641,138,0
Netherlands,2009,104,B,F,00,68870,317,22,14,13,11,42,41,88,92,130,166,351,647,1093,1745,2271,3404,3684,4997,7874,12054,14926,10095,4793,0
Netherlands,2009,104,A,F,00,19395,5,2,3,4,1,15,7,13,21,38,64,160,329,612,1075,1371,2089,2046,2254,2637,2826,2415,1097,311,0
Netherlands,2009,104,B,M,00,65365,394,29,23,15,9,53,54,150,221,243,271,482,836,1346,2153,3310,5331,6092,8028,10486,11441,9301,3968,1129,0
Norway,2009,104,A,M,00,5753,1,2,0,1,0,4,3,3,6,7,20,34,61,96,170,343,577,668,721,942,1016,734,291,53,0
Norway,2009,104,B,F,00,21478,78,4,4,5,4,14,15,40,40,53,59,102,134,236,414,505,859,971,1255,2042,3619,5277,3910,1838,0
Norway,2009,104,A,F,00,5069,0,1,0,0,2,3,1,6,5,10,11,43,59,117,231,273,500,494,544,686,838,763,369,113,0
Norway,2009,104,B,M,00,19864,118,9,5,3,2,18,15,84,113,135,142,195,281,351,583,895,1381,1566,1823,2666,3572,3602,1789,516,0
South Africa,2009,103,A,F,00,17904,12,22,9,13,16,65,60,89,162,400,581,825,1071,1351,1685,1903,1902,2047,1828,1628,1169,677,273,108,8
South Africa,2009,103,B,M,00,294167,20348,3790,1373,757,591,2309,2347,4598,9798,17376,24563,27259,24784,24010,22529,21465,18951,17970,14990,12573,9662,6070,2773,2423,858
South Africa,2009,103,A,M,00,17969,25,9,20,14,13,64,76,123,122,241,361,579,736,1207,1667,2127,2323,2380,2020,1693,1201,654,226,69,19
South Africa,2009,103,B,U,00,1053,435,19,4,4,0,6,4,21,45,60,73,46,50,40,33,26,19,11,16,7,9,2,0,0,123
South Africa,2009,103,A,U,00,32,2,1,0,0,0,0,0,2,1,4,2,1,2,1,2,3,2,2,2,1,0,0,0,0,4
South Africa,2009,103,B,F,00,277453,17191,3533,1200,705,521,1998,2046,4078,11591,21356,23810,22091,18909,17097,15378,14935,14219,15526,15777,17587,14943,11082,6936,4636,308
Sweden,2009,104,B,F,00,46424,130,13,9,10,1,19,20,64,64,65,83,157,265,408,688,1037,1851,2294,3056,4518,7664,11284,8443,4281,0
Sweden,2009,104,A,F,00,10769,2,4,1,4,1,7,1,4,6,15,29,72,115,205,348,562,1022,1214,1388,1484,1739,1628,720,198,0
Sweden,2009,104,B,M,00,43753,148,23,15,12,4,28,37,109,207,201,201,283,422,611,1035,1622,2771,3527,4259,5833,7903,8598,4484,1420,0
Sweden,2009,104,A,M,00,11686,1,4,3,4,1,9,12,6,19,14,31,54,91,155,297,547,1045,1398,1606,1949,2032,1704,566,138,0
United Kingdom,2009,104,B,F,00,288813,1610,96,74,56,47,150,188,401,509,704,922,1571,2717,3932,5475,7958,12605,15449,22813,34192,49517,62685,40598,24544,0
United Kingdom,2009,104,A,F,00,76023,9,8,9,13,7,41,45,51,76,128,249,516,1092,1790,2804,4284,6757,7788,9893,11489,12094,10703,4481,1696,0
United Kingdom,2009,104,B,M,00,270804,2067,127,73,42,34,170,216,925,1341,1659,1888,3010,4574,5978,8061,12042,18710,22911,31062,40270,47058,43121,18626,6839,0
United Kingdom,2009,104,A,M,00,83940,11,12,7,8,9,43,41,101,112,149,212,374,823,1454,2539,4699,8238,10149,12775,14434,13814,9962,3160,814,0
United States of America,2009,104,B,U,00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
United States of America,2009,104,B,F,00,1219981,11516,780,502,379,299,1131,1284,3354,4770,6053,7270,10739,17397,30062,42733,52536,66689,78597,96678,131773,184954,216632,162833,90942,78
United States of America,2009,104,A,F,00,277960,61,46,58,43,46,229,213,285,383,684,1226,2454,4808,9795,15742,20971,27441,31069,33928,37329,39152,31581,15107,5300,9
United States of America,2009,104,B,M,00,1217961,14744,973,659,501,376,1405,1858,8199,14167,14611,14667,18821,27824,46416,68507,85269,98990,107244,118636,143266,167831,152531,82714,27573,179
United States of America,2009,104,A,M,00,304364,74,45,51,60,54,288,251,395,645,806,1094,1898,3662,8713,17132,25837,34083,38729,40614,43740,42310,29431,11758,2688,6
Finland,2008,104,B,F,00,24639,65,2,5,6,3,12,13,38,53,62,64,104,191,300,543,837,1058,1139,1656,2883,4674,5411,3856,1664,0
Finland,2008,104,A,F,00,5432,2,1,1,1,0,4,6,2,6,16,13,28,60,109,218,372,492,526,668,878,902,707,334,86,0
Finland,2008,104,B,M,00,24451,94,9,6,3,8,21,18,100,167,168,208,283,496,710,1188,1903,2391,2245,2771,3637,3696,2641,1356,332,0
Finland,2008,104,A,M,00,5782,0,2,3,1,4,7,4,5,11,12,18,21,59,83,207,431,745,737,855,1048,887,450,167,25,0
Germany,2008,104,B,F,00,446788,1033,95,60,51,46,138,181,388,520,642,746,1577,3260,5783,8035,11178,13800,25206,36543,52494,85837,104180,58288,36707,0
Germany,2008,104,A,F,00,103046,10,9,6,5,3,45,46,56,85,125,244,669,1482,2804,4128,6043,7226,12099,14247,15093,17095,14269,5047,2210,0
Germany,2008,104,B,M,00,397651,1381,105,87,51,41,186,229,937,1405,1539,1780,3000,6216,10728,15509,21403,25967,46301,58489,65199,63797,47370,18036,7895,0
Germany,2008,104,A,M,00,118874,16,5,11,19,14,47,57,94,123,144,233,487,1271,2922,5182,8337,10818,19119,21546,20237,16187,8958,2302,745,0
Japan,2008,104,B,F,00,533696,1310,175,115,69,64,239,186,558,920,1177,1827,2725,3457,4988,7683,14342,18292,24822,39069,60610,89024,106873,94467,60611,93
Japan,2008,104,A,F,00,141449,23,8,12,13,17,59,48,84,99,187,459,1017,1598,2658,4388,8379,10056,12333,16626,21055,23903,20891,12628,4902,6
Japan,2008,104,B,M,00,608711,1488,230,122,93,81,318,330,1063,2057,2445,3455,4965,6577,9686,15638,31804,42475,55669,76716,102741,109967,76240,46118,17990,443
Japan,2008,104,A,M,00,211504,23,8,20,20,15,86,81,117,141,236,433,754,1225,2473,5386,13285,19710,26517,34809,40991,35770,18934,8328,2124,18
Netherlands,2008,104,B,F,00,70234,320,26,15,16,12,36,46,78,107,135,170,364,643,1143,1697,2412,3424,3692,5185,8231,12480,14778,10478,4746,0
Netherlands,2008,104,A,F,00,19477,2,1,3,6,2,16,16,16,15,40,66,161,351,640,1034,1520,2072,2009,2315,2679,2821,2323,1077,292,0
Netherlands,2008,104,B,M,00,64902,378,22,17,21,18,40,56,145,237,244,303,549,897,1379,2222,3404,5119,5937,7812,10614,11335,9008,4012,1133,0
Netherlands,2008,104,A,M,00,22397,5,3,1,6,4,15,9,21,27,39,57,131,243,465,949,1576,2487,2918,3487,3896,3301,1969,661,127,0
Norway,2008,104,B,F,00,21400,61,7,6,2,3,12,14,35,39,55,64,107,145,219,383,518,880,962,1268,2171,3785,5042,3870,1752,0
Norway,2008,104,A,F,00,5088,0,0,1,0,1,2,5,4,4,15,22,45,59,115,214,294,507,501,545,750,874,705,332,93,0
Norway,2008,104,B,M,00,20316,102,9,10,3,1,16,17,81,133,131,130,186,275,365,585,856,1390,1502,1861,2895,3745,3644,1843,536,0
Norway,2008,104,A,M,00,5798,1,2,3,1,0,5,6,6,8,9,15,24,46,101,189,322,572,624,742,983,1017,782,283,57,0
South Africa,2008,103,A,F,02,17178,18,60,,,,51,49,85,160,373,557,762,1043,1308,1609,1854,1822,2000,1706,1610,1080,1026,,,5
South Africa,2008,103,B,M,02,302744,23838,8147,,,,2709,2216,4817,10624,18349,26647,28927,25939,24671,22609,21500,17664,17979,14095,12513,8985,9902,,,613
South Africa,2008,103,A,M,02,17508,19,59,,,,63,58,128,136,202,424,558,700,1101,1647,2111,2250,2298,2022,1719,1151,855,,,7
South Africa,2008,103,B,U,02,788,275,29,,,,6,1,26,39,39,51,44,24,29,21,18,16,10,2,3,1,28,,,126
South Africa,2008,103,A,U,02,11,0,0,,,,0,1,1,1,0,1,1,0,0,1,1,2,0,0,0,0,1,,,1
South Africa,2008,103,B,F,02,288541,21203,7156,,,,2283,1881,4085,12815,23401,27111,24233,20109,17462,15502,14881,13835,15533,15242,17125,13820,20635,,,229
Sweden,2008,104,B,M,00,44116,141,12,10,4,3,17,34,122,210,207,231,254,439,601,1059,1661,2942,3501,4283,5923,8244,8537,4369,1312,0
Sweden,2008,104,A,M,00,11673,1,2,0,1,1,1,7,10,12,19,29,52,76,129,328,559,1114,1357,1609,1903,2095,1649,619,100,0
Sweden,2008,104,B,F,00,47426,131,12,7,3,7,11,26,62,65,91,91,140,282,388,671,1092,1866,2277,2820,4731,8042,11398,8866,4347,0
Sweden,2008,104,A,F,00,10882,0,1,0,1,4,6,5,8,10,19,30,58,146,202,388,584,1029,1213,1242,1538,1786,1641,770,201,0
United Kingdom,2008,104,B,M,00,276745,2123,144,70,60,45,211,218,955,1487,1688,2030,3108,4411,6145,8275,12331,19075,23492,31953,42142,48225,42306,19435,6816,0
United Kingdom,2008,104,A,M,00,83675,5,12,6,8,9,63,39,77,125,147,203,435,747,1501,2550,4825,8121,10157,12932,14532,13708,9453,3225,795,0
United Kingdom,2008,104,B,F,00,302952,1622,120,72,61,43,158,161,430,544,674,993,1666,2780,3977,5703,8210,12850,15847,23649,36631,52828,64055,44447,25431,0
United Kingdom,2008,104,A,F,00,77055,7,6,6,16,12,39,36,50,73,151,269,580,1165,1863,2831,4348,6844,7831,9717,11810,12495,10682,4618,1606,0
United States of America,2008,104,A,F,00,277219,57,50,49,46,56,259,220,289,389,678,1143,2482,4879,9740,15266,20612,26499,30956,33682,38325,40035,30951,15348,5205,3
United States of America,2008,104,B,M,00,1226225,15677,1101,679,520,393,1396,1884,8958,15069,15001,14635,19104,28582,47339,67699,83423,96128,105403,120001,149212,172695,152355,82217,26660,94
United States of America,2008,104,A,M,00,302720,75,52,61,61,65,257,242,448,632,813,1039,1851,3793,9140,16971,25392,32967,38130,40908,44662,42662,28502,11350,2642,5
United States of America,2008,104,B,F,00,1245759,12391,866,490,376,305,1106,1265,3449,4722,5785,6854,10760,17924,30078,41426,51285,65346,78047,98128,138158,193495,220197,169164,94098,44
Finland,2007,104,A,F,00,5294,1,0,0,2,0,4,6,6,7,7,19,25,76,113,227,381,466,545,594,847,929,644,289,106,0
Finland,2007,104,B,M,00,24805,93,11,4,8,3,13,21,110,176,197,210,305,469,762,1291,1935,2174,2394,2792,3805,3867,2533,1237,395,0
Finland,2007,104,A,M,00,5803,0,3,1,2,1,2,6,9,10,7,16,18,52,96,223,445,671,746,870,1096,898,426,167,38,0
Finland,2007,104,B,F,00,24288,66,8,5,4,3,15,18,44,65,56,66,96,206,326,520,847,993,1203,1571,2957,4581,5268,3800,1570,0
Germany,2007,104,A,F,00,101351,14,11,10,8,8,28,42,57,79,128,275,648,1529,2760,4183,5892,7084,12159,13237,15188,17345,12772,5772,2122,0
Germany,2007,104,B,M,00,391139,1518,134,52,59,56,220,223,990,1503,1575,1755,3257,6535,10931,15460,20949,26431,48440,56006,65827,59926,42055,19961,7276,0
Germany,2007,104,A,M,00,115938,17,18,8,18,9,53,53,89,137,155,232,521,1404,2900,5177,7996,10805,19464,19996,20321,15032,8141,2677,715,0
Germany,2007,104,B,F,00,436016,1138,101,55,52,40,131,168,425,527,621,821,1704,3313,5592,7993,10981,13517,25673,34556,53533,86076,91062,63967,33970,0
Japan,2007,104,A,F,00,138576,24,10,12,10,5,49,54,68,120,187,512,1016,1522,2632,4662,8952,9535,12214,16486,20697,22903,20096,12310,4495,5
Japan,2007,104,B,M,00,592784,1534,244,113,98,94,314,325,1087,2091,2446,3634,5036,6699,9915,16363,34316,40891,55026,77495,100145,102136,72030,44147,16176,429
Japan,2007,104,A,M,00,207947,25,14,14,14,22,72,70,112,157,217,443,744,1320,2506,5729,14462,19189,26146,35280,40125,33246,18053,8061,1916,10
Japan,2007,104,B,F,00,515550,1294,173,106,91,62,238,209,512,958,1195,1776,2643,3365,5051,8199,15461,17614,25068,39172,59627,86178,101377,90604,54485,92
Netherlands,2007,104,A,F,00,18720,1,2,1,3,3,11,16,13,24,34,81,176,346,638,1026,1474,1821,1847,2222,2686,2814,2208,992,281,0
Netherlands,2007,104,B,M,00,64797,435,35,20,10,19,44,53,172,245,235,322,570,803,1369,2075,3597,4910,6041,8084,10733,11373,8658,3951,1043,0
Netherlands,2007,104,A,M,00,22174,6,4,5,4,2,15,12,18,33,34,61,109,209,466,845,1621,2417,2867,3497,3960,3318,1932,625,114,0
Netherlands,2007,104,B,F,00,68225,301,24,11,18,9,44,57,81,114,118,201,363,651,1120,1681,2410,3111,3655,5220,8345,12347,14039,9981,4324,0
Norway,2007,104,A,F,00,5118,0,1,1,0,0,5,3,5,7,8,14,41,73,130,212,324,474,490,536,742,845,739,371,97,0
Norway,2007,104,B,M,00,20218,100,8,5,2,2,10,24,63,113,138,129,163,236,396,578,845,1364,1505,1859,2921,3904,3570,1765,518,0
Norway,2007,104,A,M,00,5773,0,2,0,0,0,2,5,6,5,6,14,16,47,96,184,324,601,640,722,1007,1018,772,247,59,0
Norway,2007,104,B,F,00,21745,85,7,8,2,2,13,15,28,45,52,55,113,152,242,382,584,811,906,1280,2275,3920,5255,3781,1732,0
South Africa,2007,103,A,F,00,17124,15,22,8,12,16,45,43,90,197,325,540,749,1125,1347,1599,1712,1796,1923,1815,1624,1094,702,233,88,4
South Africa,2007,103,B,M,00,306234,24638,4484,1679,907,698,2854,2233,4859,10875,18405,28245,29258,26973,24761,22790,21316,17410,17878,13771,12534,8872,6339,2231,1439,785
South Africa,2007,103,A,M,00,17650,23,15,23,18,15,63,53,94,138,206,395,539,726,1201,1683,2176,2152,2346,2034,1675,1130,687,178,64,16
South Africa,2007,103,B,U,00,978,410,31,8,3,4,4,2,15,49,66,63,47,44,43,17,23,9,9,8,4,2,2,0,12,103
South Africa,2007,103,A,U,00,18,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,4,1,3,0,2,0,0,0,1,1
South Africa,2007,103,B,F,00,293921,21498,4022,1560,765,621,2489,1892,4164,13664,24430,28959,24756,21108,17805,15567,14548,13422,15771,15745,17005,12880,12160,5321,3442,327
Sweden,2007,104,B,F,00,47795,121,17,8,8,6,21,16,63,65,65,92,166,262,415,660,1119,1801,2226,2907,5029,8313,11454,8720,4241,0
Sweden,2007,104,A,F,00,11045,5,3,1,2,3,8,1,12,5,14,30,66,120,210,350,631,994,1158,1268,1756,1853,1602,761,192,0
Sweden,2007,104,B,M,00,44025,149,16,7,1,5,20,29,141,196,212,193,261,445,642,1081,1743,2934,3372,4152,6111,8405,8199,4418,1293,0
Sweden,2007,104,A,M,00,11586,1,0,3,0,2,2,8,11,16,23,17,37,86,150,294,591,1119,1340,1531,1952,2155,1609,534,105,0
United Kingdom,2007,104,B,F,00,299797,1627,118,61,53,34,137,212,423,522,622,953,1653,2745,3960,5527,8546,12480,15918,23767,37059,53763,60129,45367,24121,0
United Kingdom,2007,104,A,F,00,76619,10,10,8,12,6,33,51,65,103,144,266,614,1139,1929,2819,4633,6676,7707,9639,11827,12597,9791,4910,1630,0
United Kingdom,2007,104,B,M,00,274890,2113,154,104,70,51,200,270,979,1491,1598,2113,3052,4371,5789,8256,13106,18888,23591,31747,42852,48636,39490,19626,6343,0
United Kingdom,2007,104,A,M,00,82998,13,6,18,19,14,57,54,97,111,155,223,398,842,1405,2645,5089,8029,10129,12521,14741,13628,8764,3288,752,0
United States of America,2007,104,A,M,00,300122,63,42,60,59,58,276,270,411,619,762,1020,1828,4054,9055,16697,25120,32277,36751,40530,45650,42850,28061,11038,2567,4
United States of America,2007,104,B,F,00,1219785,12848,884,513,381,291,1192,1370,3742,4927,5825,6959,11127,18380,29837,40399,50875,62625,74501,96398,139362,192522,213112,162703,88967,45
United States of America,2007,104,A,F,00,276976,68,48,59,49,48,245,252,294,410,626,1195,2550,5197,10011,15107,20991,26200,29882,33709,39406,40423,30182,14911,5109,4
United States of America,2007,104,B,M,00,1204110,16293,1056,665,502,412,1519,2066,9559,15763,15112,14689,19764,30357,47913,66560,81602,92034,100505,117874,149683,171144,146124,77481,25277,156
