Country-years:
   South Africa (2014,2013,2012,2011,2010,2009,2008,2007)
   United States of America (2014,2013,2012,2011,2010,2009,2008,2007)
   Japan (2014,2013,2012,2011,2010,2009,2008,2007)
   Finland (2014,2013,2012,2011,2010,2009,2008,2007)
   Germany (2014,2013,2012,2011,2010,2009,2008,2007)
   Netherlands (2014,2013,2012,2011,2010,2009,2008,2007)
   Norway (2014,2013,2012,2011,2010,2009,2008,2007)
   Sweden (2014,2013,2012,2011,2010,2009,2008,2007)
   United Kingdom (2013,2012,2011,2009,2008,2007)
Cause groups:
  A:C00-D48
  B:TOT
Sex: All sexes
Data source: WHO mortality database
Date: Tue Oct 31 13:08:12 CET 2017
Country,Year,ICD rev and list,Cause group,Sex,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Finland,2013,104,B,F,00,25851,43,7,5,4,3,5,12,37,47,49,67,83,143,274,407,688,1091,1471,1706,2667,4386,5935,4648,2073,0
Finland,2013,104,A,F,00,5816,1,2,1,2,1,0,3,5,4,10,19,23,68,114,190,310,506,741,708,870,944,786,408,100,0
Finland,2013,104,B,M,00,25627,55,11,1,2,2,13,13,57,138,171,213,238,309,580,835,1485,2266,2951,2841,3486,4094,3619,1759,488,0
Finland,2013,104,A,M,00,6410,0,2,0,1,0,3,4,5,6,17,25,27,44,82,169,377,640,1046,1017,1048,965,671,227,34,0
Germany,2013,104,B,F,00,464180,982,89,37,37,26,130,147,332,460,589,851,1229,2477,5147,8574,11695,16266,19864,37390,56453,78784,106839,86058,29724,0
Germany,2013,104,A,F,00,105786,6,10,7,9,6,42,34,63,75,127,274,491,1117,2517,4480,6121,8277,9369,15299,17060,16366,14581,7827,1628,0
Germany,2013,104,B,M,00,429645,1268,106,58,47,34,177,155,653,1078,1362,1740,2235,4334,9403,15826,22125,29847,34297,60178,73272,74702,60489,29753,6506,0
Germany,2013,104,A,M,00,125054,9,8,8,9,8,54,37,65,99,147,214,353,889,2465,5179,8224,12105,14024,22872,23219,18644,11687,4132,603,0
Japan,2013,104,B,F,00,609752,992,159,94,52,43,184,183,392,697,884,1376,2275,3609,5008,7072,10122,19307,25414,36606,59498,96884,131479,122517,84804,101
Japan,2013,104,A,F,00,153287,17,14,8,9,15,75,46,66,86,162,390,910,1682,2569,3970,5864,11121,13334,16304,21595,26449,25998,16119,6480,4
Japan,2013,104,B,M,00,658684,1193,175,113,67,70,269,284,876,1726,2010,2533,4161,6515,9045,13509,21243,43625,57081,74813,101777,127275,112565,54875,22457,427
Japan,2013,104,A,M,00,222617,13,10,12,18,14,67,66,104,117,170,286,645,1294,2234,4392,8649,20292,27526,33921,40412,41260,28320,10053,2722,20
Netherlands,2013,104,B,F,00,72885,292,18,7,9,6,27,40,79,100,115,160,264,519,1003,1597,2306,3444,4668,5211,7559,12012,15231,12554,5664,0
Netherlands,2013,104,A,F,00,20390,4,3,1,3,1,9,7,15,22,23,67,122,274,542,998,1374,2078,2565,2474,2660,3055,2438,1326,329,0
Netherlands,2013,104,B,M,00,68360,353,19,13,11,10,43,48,137,194,266,236,385,743,1184,2131,3252,4736,7171,8054,10023,12007,10333,5592,1419,0
Netherlands,2013,104,A,M,00,23766,2,0,4,3,2,12,17,19,15,31,48,81,197,403,891,1541,2318,3531,3700,3856,3633,2388,921,153,0
Norway,2013,104,B,F,00,21254,77,7,4,4,2,10,6,30,39,35,52,88,145,216,363,534,789,1236,1353,1920,3084,4656,4432,2172,0
Norway,2013,104,A,F,00,5037,2,1,0,1,1,4,1,4,4,7,12,32,74,102,182,291,445,645,588,648,747,705,421,120,0
Norway,2013,104,B,M,00,19924,66,7,4,1,3,10,10,58,104,124,138,168,252,351,529,901,1243,1940,1960,2448,3405,3456,2111,635,0
Norway,2013,104,A,M,00,5788,0,0,0,0,1,4,2,9,8,11,19,26,46,91,147,299,546,810,788,840,1002,744,340,55,0
South Africa,2013,103,A,U,00,56,0,0,1,1,0,2,1,2,0,1,3,1,3,5,2,6,4,3,3,2,2,0,0,0,14
South Africa,2013,103,B,F,00,217747,11918,2302,866,564,485,1515,1476,2981,6827,11907,13938,13568,12935,12557,12990,13036,14223,13586,15889,15440,16202,11464,7180,3491,407
South Africa,2013,103,A,F,00,18959,22,16,13,13,12,68,46,88,186,349,583,823,1117,1456,1724,1997,2087,2099,2066,1694,1333,725,332,95,15
South Africa,2013,103,B,M,00,239188,13574,2662,991,630,536,1855,1779,4056,7977,13027,16731,18217,18433,17690,18643,18792,19654,16157,15748,11919,9336,5821,2936,1087,937
South Africa,2013,103,A,M,00,19019,16,17,22,24,17,65,61,106,135,221,364,519,709,1138,1719,2280,2588,2507,2351,1749,1349,712,259,66,25
South Africa,2013,103,B,U,00,1998,501,44,13,4,4,12,6,29,67,134,148,128,112,77,72,51,46,33,19,22,14,12,5,6,439
Sweden,2013,104,A,M,00,11907,1,1,0,2,2,5,6,8,16,16,29,48,77,141,275,473,957,1614,1806,1872,1941,1683,796,138,0
Sweden,2013,104,B,F,00,46777,138,7,6,5,6,18,12,42,82,97,87,141,229,407,612,977,1539,2736,3229,4481,7287,10179,9696,4764,0
Sweden,2013,104,A,F,00,11226,3,1,2,1,2,6,3,2,9,16,22,74,107,214,334,545,822,1442,1488,1595,1809,1586,899,244,0
Sweden,2013,104,B,M,00,43728,169,7,6,11,5,18,29,94,210,245,225,260,338,608,945,1381,2451,4003,4664,5652,7394,7987,5497,1529,0
United Kingdom,2013,104,B,F,00,297287,1324,118,57,44,37,131,148,296,444,631,980,1354,2410,3794,5610,7728,11376,17399,22096,32869,48630,59759,53759,26293,0
United Kingdom,2013,104,A,F,00,78331,7,5,11,9,13,42,34,51,85,148,309,488,989,1741,2863,4096,6062,9054,9819,11547,12503,10461,6226,1768,0
United Kingdom,2013,104,B,M,00,279171,1741,135,74,45,44,164,189,637,1052,1365,1802,2453,4003,5934,8149,11298,16985,24981,30069,39630,48255,44778,27641,7747,0
United Kingdom,2013,104,A,M,00,87511,15,16,14,9,15,46,44,61,84,146,227,326,695,1486,2641,4394,7495,11351,12770,14554,14473,10663,5056,930,0
United States of America,2013,104,A,F,00,284505,57,40,48,45,40,216,233,272,389,633,1248,2196,4461,8198,15308,22454,28704,34360,36643,36641,37118,31789,17499,5910,3
United States of America,2013,104,A,M,00,315658,60,46,48,59,49,265,247,393,524,791,1140,1676,3281,7313,16022,27289,36384,42912,44416,42925,41092,31057,14303,3360,6
United States of America,2013,104,B,F,00,1290962,10321,728,427,320,271,1045,1219,2721,4901,6033,7969,10277,16224,26302,43425,58985,72817,90185,106346,131148,178525,223972,190137,106627,37
United States of America,2013,104,B,M,00,1306031,13119,929,588,431,374,1382,1694,6759,14105,15023,16438,17544,25528,40531,67466,93996,112329,124324,133574,146166,169174,165286,104050,35126,95
