Country,Cause group,Year,ICD rev and list,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Japan,A,2009,208,0,353941,38,27,19.0,30.0,29.0,139,129,157,250,381,844,1774,2882,4895,9270,19333,30350,40040,48842,61448,61508,42444,21404.0,7691.0,17
Japan,A,2010,208,0,363663,28,19,22.0,33.0,27.0,131,135,163,241,404,803,1680,2888,4848,8870,18112,32447,40329,48956,62169,63870,46109,22978.0,8377.0,24
Japan,A,2011,208,0,367816,31,17,27.0,27.0,28.0,135,136,184,235,358,778,1711,2933,4735,8528,16688,34680,39037,49088,62663,64895,48350,23826.0,8708.0,18
Japan,A,2012,208,0,371939,36,22,27.0,35.0,31.0,116,123,182,201,358,723,1620,3088,4689,8376,15400,33406,39217,49731,62190,66445,51567,25361.0,8970.0,25
Japan,A,2013,208,0,375904,30,24,20.0,27.0,29.0,142,112,170,203,332,676,1555,2976,4803,8362,14513,31413,40860,50225,62007,67709,54318,26172.0,9202.0,24
Japan,A,2014,208,0,379147,25,26,18.0,22.0,36.0,126,114,161,195,347,730,1467,2993,4785,7909,14087,28310,42875,52742,60559,67904,56633,27859.0,9193.0,31
Japan,B,2007,208,0,1108334,2828,417,219.0,189.0,156.0,552,534,1599,3049,3641,5410,7679,10064,14966,24562,49777,58505,80094,116667,159772,188314,173407,134751.0,70661.0,521
Japan,B,2008,208,0,1142407,2798,405,237.0,162.0,145.0,557,516,1621,2977,3622,5282,7690,10034,14674,23321,46146,60767,80491,115785,163351,198991,183113,140585.0,78601.0,536
Japan,B,2009,208,0,1141865,2556,405,201.0,164.0,134.0,534,487,1467,2960,3561,4931,7786,10375,14584,22686,41934,61606,82052,109527,159471,201406,189913,139746.0,82748.0,631
Japan,B,2010,208,0,1197012,2450,406,216.0,175.0,135.0,480,553,1422,2753,3437,4837,7555,10162,14532,22014,39326,66096,83087,110248,163088,211257,207287,151959.0,92899.0,638
Japan,B,2011,208,0,1253066,2463,436,289.0,242.0,192.0,749,728,1740,2964,3683,4916,7964,11190,14979,22437,37455,72120,82062,113113,167707,220110,222793,162024.0,99334.0,1376
Japan,B,2012,208,0,1256359,2299,356,193.0,185.0,143.0,497,509,1369,2476,3203,4065,6805,10346,13840,20770,33216,67491,80161,111507,164344,221545,234928,170900.0,104664.0,547
Japan,B,2013,208,0,1268436,2185,334,207.0,119.0,113.0,453,467,1268,2423,2894,3909,6436,10124,14053,20581,31365,62932,82495,111419,161275,224159,244044,177392.0,107261.0,528
